id	name	canonical_uuid	canonical	surrogate
00000140-21c3-5ec4-82ef-568b755a5fe0	Pustularia velata Le Gal	daf582aa-0990-58bb-a0b8-af68c3eb7ff5	Pustularia velata	false
00000161-37fa-52e5-8689-1aacff87af3d	Empoasca (Matsumurasca) conifera Dworakowska 1994	c2cd0a73-eca3-5cad-b19e-0399387d28d0	Empoasca conifera	false
00000340-e9ec-51bf-970b-34e99e491634	Gibberella macrolopha (Syd.) Dingley, 1952	a5e71dd7-ca21-5c5e-b6ea-34ab1a7ebc13	Gibberella macrolopha	false
0000034f-4826-5c2d-b472-718b72ce0cf8	Solanum tomatillo (J.R�my) F.Phil.	fc2dec13-3ef3-5c5d-bb9f-4f0e8fa36d4c	Solanum tomatillo	false
00000393-d4c1-5774-af87-e49d64420211	Dothiorella guaranitica Speg.	0f6df7cd-8997-587e-8f5b-8949a9b3c580	Dothiorella guaranitica	false
00000398-7fca-537f-96e1-3b7cbb3c8248	Rhysotheca illinoensis (Farl.) G.W. Wilson, 1907	caf41408-922d-586d-8381-04bdbd145ea5	Rhysotheca illinoensis	false
000003f3-8194-5d75-8dd9-22e632fb8089	Helicangiospora	000003f3-8194-5d75-8dd9-22e632fb8089	Helicangiospora	false
00000483-3ec1-5af0-b1d0-568bef1411ad	Rubus x lyprocarpus Kupcsok	ffd986bf-c155-5d5b-81ce-e8e2dacacc29	Rubus × lyprocarpus	false
0000058f-71e5-5aea-98ad-2b3cabd510eb	Strobilanthes renschiae	0000058f-71e5-5aea-98ad-2b3cabd510eb	Strobilanthes renschiae	false
00000607-aa4d-52b8-ac9a-8eab1b3b7997	Lygus dolichorhynchus	00000607-aa4d-52b8-ac9a-8eab1b3b7997	Lygus dolichorhynchus	false
00000612-5bcc-54b0-9476-da350c568013	Tipula luridorostris Schummel 1833	e49cc4ac-1b6b-5e4e-8b4b-863cbd439186	Tipula luridorostris	false
0000068a-bb8c-51d4-b45d-052955d5a9e5	Kochia eriantha	0000068a-bb8c-51d4-b45d-052955d5a9e5	Kochia eriantha	false
000008f4-f5ce-5093-ad6b-0f0d356ff42a	Pheugopedius sclateri columbianus Chapman, 1924	5fd05c46-67a0-5b9f-8829-386690ee19ce	Pheugopedius sclateri columbianus	false
000008f6-a79e-5ab5-9550-f1984c038365	Simulium blantoni Field 1967	5e0d718b-7ebc-5ccb-bfb3-3369d171d4bb	Simulium blantoni	false
